model,run,tag,step,value
LSTM,lstm-v2,train/loss,19900,3.1951916217803955
LSTM,lstm-v2,train/loss,20000,3.1646013259887695
LSTM,lstm-v2,train/loss,20100,3.1350483894348145
LSTM,lstm-v2,train/loss,20200,3.286303997039795
LSTM,lstm-v2,train/loss,20300,3.2383151054382324
LSTM,lstm-v2,train/loss,20400,3.2470526695251465
LSTM,lstm-v2,train/loss,20500,3.1194558143615723
LSTM,lstm-v2,train/loss,20600,3.248291254043579
LSTM,lstm-v2,train/loss,20700,3.1165685653686523
LSTM,lstm-v2,train/loss,20800,3.301415205001831
LSTM,lstm-v2,train/loss,20900,2.9566285610198975
LSTM,lstm-v2,train/loss,21000,3.24676513671875
LSTM,lstm-v2,train/loss,21100,3.1860225200653076
LSTM,lstm-v2,train/loss,21200,3.106464385986328
LSTM,lstm-v2,train/loss,21300,3.1821935176849365
LSTM,lstm-v2,train/loss,21400,3.0931568145751953
LSTM,lstm-v2,train/loss,21500,3.1868038177490234
LSTM,lstm-v2,train/loss,21600,3.11338472366333
LSTM,lstm-v2,train/loss,21700,3.086643695831299
LSTM,lstm-v2,train/loss,21800,3.0101873874664307
LSTM,lstm-v2,train/loss,21900,3.1959030628204346
LSTM,lstm-v2,train/loss,22000,3.168628692626953
LSTM,lstm-v2,train/loss,22100,3.0961952209472656
LSTM,lstm-v2,train/loss,22200,3.1420135498046875
LSTM,lstm-v2,train/loss,22300,3.0953803062438965
LSTM,lstm-v2,train/loss,22400,2.988884925842285
LSTM,lstm-v2,train/loss,22500,3.1434693336486816
LSTM,lstm-v2,train/loss,22600,3.1796250343322754
LSTM,lstm-v2,train/loss,22700,3.372488498687744
LSTM,lstm-v2,train/loss,22800,3.016284942626953
LSTM,lstm-v2,train/loss,22900,3.168566942214966
LSTM,lstm-v2,train/loss,23000,3.0007071495056152
LSTM,lstm-v2,train/loss,23100,3.1838021278381348
LSTM,lstm-v2,train/loss,23200,3.0665388107299805
LSTM,lstm-v2,train/loss,23300,3.23797869682312
LSTM,lstm-v2,train/loss,23400,2.92950701713562
LSTM,lstm-v2,train/loss,23500,3.1293375492095947
LSTM,lstm-v2,train/loss,23600,3.0999555587768555
LSTM,lstm-v2,train/loss,23700,3.1201016902923584
LSTM,lstm-v2,train/loss,23800,3.1606597900390625
LSTM,lstm-v2,train/loss,23900,3.109173536300659
LSTM,lstm-v2,train/loss,24000,3.168245792388916
LSTM,lstm-v2,train/loss,24100,3.1094717979431152
LSTM,lstm-v2,train/loss,24200,2.9817521572113037
LSTM,lstm-v2,train/loss,24300,3.062882423400879
LSTM,lstm-v2,train/loss,24400,3.021488666534424
LSTM,lstm-v2,train/loss,24500,3.0583548545837402
LSTM,lstm-v2,train/loss,24600,3.1090774536132812
LSTM,lstm-v2,train/loss,24700,3.1187386512756348
LSTM,lstm-v2,train/loss,24800,3.1174607276916504
LSTM,lstm-v2,train/loss,24900,3.1497573852539062
LSTM,lstm-v2,train/loss,25000,3.119497776031494
LSTM,lstm-v2,train/loss,25100,3.2552456855773926
LSTM,lstm-v2,train/loss,25200,3.0291566848754883
LSTM,lstm-v2,train/loss,25300,3.0061230659484863
LSTM,lstm-v2,train/loss,25400,3.107865810394287
